,Name,Damage,Weight,Gold,Upgrade,Perk,Type,Category
48,Dragonbone Mace ,17.0,22.0,2000.0,Dragon Bone,Dragon,Mace,One-Handed
49,Dwarven Mace,12.0,16.0,190.0,Dwarven Metal Ingot,Dwarven,Mace,One-Handed
50,Ebony Mace,16.0,19.0,1000.0,Ebony Ingot,Ebony,Mace,One-Handed
51,Elven Mace,13.0,17.0,330.0,Refined Moonstone,Elven,Mace,One-Handed
52,Glass Mace,14.0,18.0,575.0,Refined Malachite,Glass,Mace,One-Handed
53,Horksbane ,10.0,14.0,250.0,Steel Ingot,Steel,Mace,One-Handed
62,Nordic Mace ,13.0,16.0,410.0,Quicksilver Ingot,Advanced,Mace,One-Handed
63,Orcish Mace,11.0,15.0,105.0,Orichalcum Ingot,Orcish,Mace,One-Handed
64,Prelate's Mace ,13.0,7.0,330.0,Refined Moonstone,Elven,Mace,One-Handed
66,Stalhrim Mace ,16.0,18.0,1375.0,Stalhrim,Ebony,Mace,One-Handed
67,Steel Mace,10.0,14.0,65.0,Steel Ingot,Steel,Mace,One-Handed
70,Ancient Nord Sword,8.0,12.0,13.0,Steel Ingot,Steel,Sword,One-Handed
71,Blades Sword,11.0,10.0,300.0,Steel Ingot,Steel,Sword,One-Handed
72,Bloodscythe ,13.0,10.0,1859.0,Ebony Ingot,Daedric,Sword,One-Handed
73,Bolar's Oathblade,11.0,10.0,1014.0,Quicksilver Ingot,Steel,Sword,One-Handed
74,Ceremonial Sword,8.0,12.0,5.0,Steel Ingot,Steel,Sword,One-Handed
81,Daedric Sword,14.0,16.0,1250.0,Ebony Ingot,Daedric,Sword,One-Handed
88,Dragonbone Sword ,15.0,19.0,1500.0,Dragon Bone,Dragon,Sword,One-Handed
90,Dwarven Sword,10.0,12.0,135.0,Dwarven Metal Ingot,Dwarven,Sword,One-Handed
91,Ebony Sword,,,,Ebony Ingot,Ebony,Sword,One-Handed
92,Eduj,11.0,9.0,300.0,Steel Ingot,Steel,Sword,One-Handed
93,Elven Sword,11.0,13.0,235.0,Refined Moonstone,Elven,Sword,One-Handed
95,Forsworn Sword,10.0,13.0,70.0,Steel Ingot,Steel,Sword,One-Handed
102,Glass Sword,12.0,14.0,410.0,Refined Malachite,Glass,Sword,One-Handed
103,Grimsever,12.0,14.0,727.0,Refined Malachite,Glass,Sword,One-Handed
104,Harkon's Sword ,8.0,9.0,1472.0,Steel Ingot,Steel,Sword,One-Handed
105,Herebane's Courage,11.0,13.0,639.0,Refined Moonstone,Elven,Sword,One-Handed
107,Honed Ancient Nord Sword,11.0,15.0,23.0,Steel Ingot,Dwarven,Sword,One-Handed
109,Imperial Sword,8.0,10.0,23.0,Steel Ingot,Steel,Sword,One-Handed
117,Miraak's Sword ,16.0,3.0,427.0,Daedra HeartEbony Ingot,Dwarven,Sword,One-Handed
123,Nord Hero Sword,11.0,9.0,135.0,Steel Ingot,Steel,Sword,One-Handed
124,Nordic Sword ,11.0,12.0,290.0,Quicksilver Ingot,Advanced,Sword,One-Handed
125,Orcish Sword,9.0,11.0,75.0,Orichalcum Ingot,Orcish,Sword,One-Handed
127,Queen Freydis's Sword,8.0,10.0,45.0,Steel Ingot,Steel,Sword,One-Handed
128,Red Eagle's Bane,11.0,15.0,100.0,Steel Ingot,Dwarven,Sword,One-Handed
129,Red Eagle's Fury,8.0,12.0,97.0,Steel Ingot,Steel,Sword,One-Handed
130,Scimitar,11.0,10.0,5.0,Steel Ingot,Steel,Sword,One-Handed
132,Skyforge Steel Sword,11.0,10.0,70.0,Steel Ingot,Steel,Sword,One-Handed
133,Stalhrim Sword ,13.0,14.0,985.0,Stalhrim,Ebony,Sword,One-Handed
134,Steel Sword,8.0,10.0,45.0,Steel Ingot,Steel,Sword,One-Handed
135,Soulrender ,13.0,10.0,1000.0,Ebony Ingot,Daedric,Sword,One-Handed
141,Vilkas's Sword,11.0,10.0,70.0,Steel Ingot,Steel,Sword,One-Handed
142,Windshear,11.0,10.0,40.0,Steel Ingot,Steel,Sword,One-Handed
144,Ancient Nord War Axe,9.0,14.0,15.0,Steel Ingot,Steel,War Axe,One-Handed
146,Ceremonial Axe,9.0,14.0,5.0,Steel Ingot,Steel,War Axe,One-Handed
147,Daedric War Axe,15.0,18.0,1500.0,Ebony Ingot,Daedric,War Axe,One-Handed
148,Dawnguard Rune Axe ,11.0,13.0,175.0,Steel Ingot,Steel,War Axe,One-Handed
149,Dawnguard War Axe ,11.0,13.0,55.0,Steel Ingot,Steel,War Axe,One-Handed
150,Dragonbone War Axe ,16.0,21.0,1700.0,Dragon Bone,Dragon,War Axe,One-Handed
151,Dwarven War Axe,11.0,14.0,165.0,Dwarven Metal Ingot,Dwarven,War Axe,One-Handed
152,Ebony War Axe,15.0,17.0,865.0,Ebony Ingot,Ebony,War Axe,One-Handed
153,Elven War Axe,12.0,15.0,280.0,Refined Moonstone,Elven,War Axe,One-Handed
155,Forsworn Axe,11.0,15.0,90.0,Steel Ingot,Steel,War Axe,One-Handed
157,Glass War Axe,14.0,16.0,490.0,Refined Malachite,Glass,War Axe,One-Handed
159,Honed Draugr War Axe,11.0,16.0,27.0,Steel Ingot,Dwarven,War Axe,One-Handed
169,Nord Hero War Axe,12.0,11.0,165.0,Steel Ingot,Steel,War Axe,One-Handed
170,Nordic War Axe ,12.0,14.0,350.0,Quicksilver Ingot,Advanced,War Axe,One-Handed
172,Okin,12.0,11.0,320.0,Steel Ingot,Steel,War Axe,One-Handed
173,Orcish War Axe,10.0,13.0,90.0,Orichalcum Ingot,Orcish,War Axe,One-Handed
176,Skyforge Steel War Axe,12.0,12.0,80.0,Steel Ingot,Steel,War Axe,One-Handed
177,Stalhrim War Axe ,15.0,16.0,1180.0,Stalhrim,Ebony,War Axe,One-Handed
178,Steel War Axe,9.0,12.0,55.0,Steel Ingot,Steel,War Axe,One-Handed
179,Ulfric's War Axe,9.0,12.0,55.0,Steel Ingot,Steel,War Axe,One-Handed
183,Ancient Nord Greatsword,17.0,18.0,35.0,Steel Ingot,Steel,Greatsword,Two-Handed
184,Balgruuf's Greatsword,17.0,17.0,200.0,Steel Ingot,Steel,Greatsword,Two-Handed
185,Bloodskal Blade DR,21.0,16.0,1250.0,Silver Ingot,-,Greatsword,Two-Handed
186,Daedric Greatsword,24.0,23.0,2500.0,Ebony Ingot,Daedric,Greatsword,Two-Handed
187,Dragonbone Greatsword ,25.0,27.0,2725.0,Dragon Bone,Dragon,Greatsword,Two-Handed
188,Dwarven Greatsword,19.0,19.0,270.0,Dwarven Metal Ingot,Dwarven,Greatsword,Two-Handed
189,Ebony Greatsword,22.0,22.0,1440.0,Ebony Ingot,Ebony,Greatsword,Two-Handed
191,Elven Greatsword,20.0,20.0,470.0,Refined Moonstone,Elven,Greatsword,Two-Handed
192,Glass Greatsword,21.0,22.0,820.0,Refined Malachite,Glass,Greatsword,Two-Handed
193,Honed Ancient Nord Greatsword,20.0,21.0,63.0,Steel Ingot,Dwarven,Greatsword,Two-Handed
195,Nord Hero Greatsword,20.0,16.0,250.0,Steel Ingot,Steel,Greatsword,Two-Handed
196,Nordic Greatsword DR,20.0,19.0,585.0,Quicksilver Ingot,Advanced,Greatsword,Two-Handed
197,Orcish Greatsword,18.0,18.0,75.0,Orichalcum Ingot,Orcish,Greatsword,Two-Handed
199,Skyforge Steel Greatsword,20.0,17.0,140.0,Steel Ingot,Steel,Greatsword,Two-Handed
200,Stalhrim Greatsword ,23.0,21.0,1970.0,Stalhrim,Ebony,Greatsword,Two-Handed
201,Steel Greatsword,17.0,17.0,90.0,Steel Ingot,Steel,Greatsword,Two-Handed
202,Stormfang ,17.0,17.0,1175.0,Steel Ingot,Steel,Greatsword,Two-Handed
205,Daedric Warhammer,27.0,31.0,4000.0,Ebony Ingot,Daedric,Warhammer,Two-Handed
206,Dawnguard Warhammer ,22.0,26.0,110.0,Steel Ingot,Steel,Warhammer,Two-Handed
207,Dawnguard Rune Hammer ,22.0,26.0,500.0,Steel Ingot,Steel,Warhammer,Two-Handed
208,Dragonbone Warhammer ,28.0,33.0,4275.0,Dragon Bone,Dragon,Warhammer,Two-Handed
209,Dwarven Warhammer,22.0,27.0,325.0,Dwarven Metal Ingot,Dwarven,Warhammer,Two-Handed
210,Ebony Warhammer,25.0,30.0,1725.0,Ebony Ingot,Ebony,Warhammer,Two-Handed
211,Elven Warhammer,23.0,28.0,565.0,Refined Moonstone,Elven,Warhammer,Two-Handed
212,Glass Warhammer,24.0,29.0,985.0,Refined Malachite,Glass,Warhammer,Two-Handed
214,Nordic Warhammer ,23.0,27.0,700.0,Quicksilver Ingot,Advanced,Warhammer,Two-Handed
215,Orcish Warhammer,21.0,26.0,180.0,Orichalcum Ingot,Orcish,Warhammer,Two-Handed
216,Shagrol's Warhammer,21.0,26.0,200.0,Orichalcum Ingot,Orcish,Warhammer,Two-Handed
217,Stalhrim Warhammer ,26.0,29.0,2850.0,Stalhrim,Ebony,Warhammer,Two-Handed
218,Steel Warhammer,20.0,25.0,110.0,Steel Ingot,Steel,Warhammer,Two-Handed
219,The Longhammer,21.0,18.0,90.0,Orichalcum Ingot,Orcish,Warhammer,Two-Handed
220,Trollsbane,20.0,25.0,121.0,Steel Ingot,Steel,Warhammer,Two-Handed
